Elapsed time;Config--load
15:44:13,0;53.0
15:44:13,500;53.0
15:44:14,0;53.0
15:44:14,500;53.0
15:44:15,0;53.0
15:44:15,500;54.0
15:44:16,0;54.0
15:44:16,500;54.0
15:44:17,0;54.0
15:44:17,500;54.0
15:44:18,0;54.0
15:44:18,500;54.0
15:44:20,0;54.0
15:44:20,500;55.0
15:44:21,0;55.0
15:44:21,500;55.0
15:44:22,0;55.0
15:44:22,500;55.0
15:44:23,0;55.0
15:44:23,500;55.0
15:44:24,0;55.0
15:44:24,500;55.0
15:44:25,0;55.0
15:44:26,500;56.0
15:44:27,0;56.0
15:44:27,500;56.0
15:44:28,0;56.0
15:44:29,0;56.0
15:44:29,500;56.0
15:44:30,0;56.0
15:44:30,500;57.0
15:44:31,0;57.0
15:44:31,500;57.0
15:44:32,0;57.0
15:44:33,500;57.0
15:44:34,0;57.0
15:44:34,500;57.0
15:44:35,0;57.0
15:44:35,500;58.0
15:44:36,0;58.0
15:44:36,500;58.0
15:44:37,0;58.0
15:44:37,500;58.0
15:44:38,0;58.0
15:44:39,0;58.0
15:44:40,0;58.0
15:44:40,500;58.9
15:44:41,0;59.0
15:44:41,500;59.0
15:44:42,0;59.0
15:44:42,500;59.0
15:44:43,0;59.0
15:44:43,500;59.0
15:44:44,0;59.0
15:44:45,0;59.0
15:44:46,0;60.0
15:44:47,0;60.0
15:44:47,500;60.0
15:44:48,0;60.0
15:44:48,500;60.0
15:44:49,0;60.0
15:44:49,500;60.0
15:44:50,0;60.0
15:44:50,500;61.0
15:44:51,0;61.0
15:44:51,500;61.0
15:44:52,0;61.0
15:44:52,500;61.0
15:44:53,0;61.0
15:44:54,0;61.0
15:44:54,500;61.0
15:44:55,0;61.0
15:44:55,500;62.0
15:44:56,0;62.0
15:44:56,500;62.0
15:44:57,0;62.0
15:44:57,500;62.0
15:44:58,0;62.0
15:44:58,500;62.0
15:44:59,0;62.0
15:44:59,500;62.0
15:45:00,500;63.0
15:45:01,0;63.0
15:45:01,500;63.0
15:45:02,0;63.0
15:45:02,500;63.0
15:45:03,0;63.0
15:45:03,500;63.0
15:45:04,0;63.0
15:45:04,500;63.0
15:45:05,500;63.666666666666664
15:45:06,0;64.0
15:45:06,500;64.0
15:45:07,0;64.0
15:45:07,500;64.0
15:45:08,0;64.0
15:45:08,500;64.0
15:45:09,0;64.0
15:45:09,500;64.0
15:45:10,0;64.0
15:45:10,500;65.0
15:45:11,0;65.0
15:45:11,500;65.0
15:45:12,0;65.0
15:45:12,500;65.0
15:45:13,0;65.0
15:45:13,500;65.0
15:45:14,0;65.0
15:45:14,500;65.0
15:45:15,0;65.0
15:45:15,500;65.8
15:45:16,0;66.0
15:45:16,500;66.0
15:45:17,0;66.0
15:45:17,500;66.0
15:45:18,0;66.0
15:45:18,500;66.0
15:45:19,0;66.0
15:45:19,500;66.0
15:45:20,0;66.0
